symptom,factor_group,factor
Skin rashes in children,Accompanied by,Dandruff
Skin rashes in children,Accompanied by,Diarrhea
Skin rashes in children,Accompanied by,Difficulty breathing
Skin rashes in children,Accompanied by,Fever
Skin rashes in children,Accompanied by,Headache
Skin rashes in children,Accompanied by,Joint pain
Skin rashes in children,Accompanied by,Loss of appetite
Skin rashes in children,Accompanied by,Mouth or tongue sores
Skin rashes in children,Accompanied by,Muscle aches or pains
Skin rashes in children,Accompanied by,Muscle weakness
Skin rashes in children,Accompanied by,Nausea or vomiting
Skin rashes in children,Accompanied by,Sore throat
Skin rashes in children,Accompanied by,"Swelling of lips, face or tongue"
Skin rashes in children,Accompanied by,Tender or painful scalp
Sore throat in children,Accompanied by,Blue-colored skin or lips
Sore throat in children,Accompanied by,Chills or sweating
Sore throat in children,Accompanied by,Cough
Sore throat in children,Accompanied by,Difficult or painful swallowing
Sore throat in children,Accompanied by,Difficult or raspy breathing
Sore throat in children,Accompanied by,"Enlarged, tender glands (lymph nodes) in neck"
Sore throat in children,Accompanied by,Fever
Sore throat in children,Accompanied by,Headache or facial pain
Sore throat in children,Accompanied by,Heartburn
Sore throat in children,Accompanied by,Hoarse or muffled voice
Sore throat in children,Accompanied by,Mild body aches
Sore throat in children,Accompanied by,"Red, swollen tonsils"
Sore throat in children,Accompanied by,Runny or stuffy nose
Sore throat in children,Accompanied by,Skin rash
Sore throat in children,Accompanied by,Sneezing
Sore throat in children,Accompanied by,Watery eyes
Sore throat in children,Accompanied by,White patches or pus on tonsils
Sore throat in children,Accompanied by,Yellow or greenish phlegm or discharge from nose
Urinary problems in children,Problem is,Blood in urine
Urinary problems in children,Problem is,Change in urine color
Urinary problems in children,Problem is,Cloudy urine
Urinary problems in children,Problem is,Frequent urination
Urinary problems in children,Problem is,New episodes of bed-wetting
Urinary problems in children,Problem is,New episodes of daytime wetting or accidents
Urinary problems in children,Problem is,Pain or burning when urinating
Urinary problems in children,Problem is,"Strong, persistent urge to urinate"
Urinary problems in children,Preceded by,Severe or bloody diarrhea
Urinary problems in children,Preceded by,Sore throat or upper respiratory infection
Urinary problems in children,Accompanied by,Abdominal pain or discomfort
Urinary problems in children,Accompanied by,"Back, side or groin pain"
Urinary problems in children,Accompanied by,Fatigue or weakness
Urinary problems in children,Accompanied by,Fever
Urinary problems in children,Accompanied by,Irritability (infant)
Urinary problems in children,Accompanied by,Pale skin
Urinary problems in children,Accompanied by,"Swelling in face, hands, feet or abdomen"
Urinary problems in children,Accompanied by,Vomiting (infant)
Wheezing in children,Wheezing is,New or recent
Wheezing in children,Wheezing is,Ongoing or recurrent
Wheezing in children,Triggered or worsened by,Allergens or irritants
Wheezing in children,Triggered or worsened by,Exposure to cold air
Wheezing in children,Triggered or worsened by,Mild to moderate exertion
Wheezing in children,Related cough,Is dry
Wheezing in children,Related cough,"Gasping, harsh or barking"
Wheezing in children,Related cough,Produces phlegm or sputum
Wheezing in children,Accompanied by,Bluish skin on face
Wheezing in children,Accompanied by,Chest pain or tightness
Wheezing in children,Accompanied by,Delayed growth
Wheezing in children,Accompanied by,Drooling or difficulty swallowing
Wheezing in children,Accompanied by,Enlargement or rounding of fingertips or toes
Wheezing in children,Accompanied by,Failure to thrive (infant and toddler)
Wheezing in children,Accompanied by,Fever
Wheezing in children,Accompanied by,Foul-smelling stools
Wheezing in children,Accompanied by,Headache or facial pain
Wheezing in children,Accompanied by,Hoarse voice
Wheezing in children,Accompanied by,Mild body aches
Wheezing in children,Accompanied by,Rapid heartbeat
Wheezing in children,Accompanied by,Rapid or difficult breathing
Wheezing in children,Accompanied by,"Recurrent, severe respiratory infections"
Wheezing in children,Accompanied by,Runny or stuffy nose
Wheezing in children,Accompanied by,Shortness of breath
Wheezing in children,Accompanied by,Sneezing
Wheezing in children,Accompanied by,Sore throat
Wheezing in children,Accompanied by,Watery or itchy eyes
