Key,symptom,factor_group,factor,translation chinese,translation english,
"eye problems, accompanied by swelling around the eye",Eye problems,Accompanied by,Swelling around the eye,您的视力问题是否伴随有眼周肿胀？,Is your vision problem accompanied by swelling around the eyes?,
"foot pain or ankle pain, located in ankle",Foot pain or ankle pain,Located in,Ankle,请问您的疼痛位于脚踝吗？,Is your pain located at the ankle?,
"foot pain or ankle pain, located in area along edge of toenail",Foot pain or ankle pain,Located in,Area along edge of toenail,请问您的疼痛位于趾甲边缘区域吗？,Is your pain located at the edge of the toenail area?,
"foot pain or ankle pain, located in back of ankle",Foot pain or ankle pain,Located in,Back of ankle,请问您的疼痛位于脚踝后部吗？,Is your pain located at the back of the ankle?,
"foot pain or ankle pain, located in bottom of foot",Foot pain or ankle pain,Located in,Bottom of foot,请问您的疼痛位于脚底吗？,Is your pain located at the sole of your foot?,
"foot pain or ankle pain, located in heel",Foot pain or ankle pain,Located in,Heel,请问您的疼痛位于脚后跟吗？,Is your pain located at the heel of your foot?,
"foot pain or ankle pain, located in middle part of foot",Foot pain or ankle pain,Located in,Middle part of foot,请问您的疼痛位于脚的中部吗？,Is your pain located in the middle part of your foot?,
"foot pain or ankle pain, located in toe or front part of foot",Foot pain or ankle pain,Located in,Toe or front part of foot,请问您的疼痛位于脚趾或脚前部吗？,Is your pain located in the toes or front part of your foot?,
"foot pain or ankle pain, located in whole foot",Foot pain or ankle pain,Located in,Whole foot,请问您的疼痛遍及整个脚部吗？,Does your pain spread throughout the entire foot?,
"foot pain or ankle pain, triggered or worsened by activity or overuse",Foot pain or ankle pain,Triggered or worsened by,Activity or overuse,请问您的脚痛或脚踝痛是由活动过度或使用过度引起的吗？,Is your foot or ankle pain caused by overuse or excessive activity?,
"foot pain or ankle pain, triggered or worsened by ill-fitting shoes",Foot pain or ankle pain,Triggered or worsened by,Ill-fitting shoes,请问您的脚痛或脚踝痛是由不合脚的鞋子引起的吗？,Is your foot or ankle pain caused by ill-fitting shoes?,
"foot pain or ankle pain, triggered or worsened by injury",Foot pain or ankle pain,Triggered or worsened by,Injury,请问您的脚痛或脚踝痛是由受伤引起的吗？,Is your foot or ankle pain caused by an injury?,
"foot pain or ankle pain, triggered or worsened by long periods of rest",Foot pain or ankle pain,Triggered or worsened by,Long periods of rest,请问您的脚痛或脚踝痛是在长时间休息后出现或加重的吗？,Does your foot or ankle pain appear or worsen after a long period of rest?,
"foot pain or ankle pain, accompanied by black-and-blue mark",Foot pain or ankle pain,Accompanied by,Black-and-blue mark,请问您的脚痛或脚踝痛伴有青紫色瘀斑吗？,Does your foot or ankle pain come with purplish-blue bruising?,
"foot pain or ankle pain, accompanied by burning",Foot pain or ankle pain,Accompanied by,Burning,请问您的脚痛或脚踝痛伴有烧灼感吗？,Does your foot or ankle pain come with a burning sensation?,
"foot pain or ankle pain, accompanied by difficulty pushing off with toes",Foot pain or ankle pain,Accompanied by,Difficulty pushing off with toes,请问您在用脚趾推地时有困难吗？,Do you have difficulty pushing off with your toes?,
"foot pain or ankle pain, accompanied by feeling of instability",Foot pain or ankle pain,Accompanied by,Feeling of instability,请问您感觉脚不稳吗？,Do you feel that your foot is unstable?,
"foot pain or ankle pain, accompanied by flattened arch",Foot pain or ankle pain,Accompanied by,Flattened arch,请问您的足弓是否变平了？,Has your arch flattened?,
"foot pain or ankle pain, accompanied by inability to bear weight",Foot pain or ankle pain,Accompanied by,Inability to bear weight,请问您站不住或承受不了体重吗？,Are you unable to stand or bear weight?,
"foot pain or ankle pain, accompanied by joint deformity",Foot pain or ankle pain,Accompanied by,Joint deformity,请问您的关节有变形吗？,Do you have joint deformity?,
"foot pain or ankle pain, accompanied by numbness or tingling",Foot pain or ankle pain,Accompanied by,Numbness or tingling,请问您感觉脚部有麻木或刺痛感吗？,Do you feel numbness or tingling in your foot?,
"foot pain or ankle pain, accompanied by redness",Foot pain or ankle pain,Accompanied by,Redness,请问您的脚痛或脚踝痛伴有红肿吗？,Does your foot or ankle pain come with redness and swelling?,
"foot pain or ankle pain, accompanied by stiffness",Foot pain or ankle pain,Accompanied by,Stiffness,请问您的脚痛或脚踝痛伴有僵硬感吗？,Does your foot or ankle pain come with stiffness?,
"foot pain or ankle pain, accompanied by swelling",Foot pain or ankle pain,Accompanied by,Swelling,请问您的脚痛或脚踝痛伴有肿胀吗？,Does your foot or ankle pain come with swelling?,
"foot pain or ankle pain, accompanied by thickened or rough skin",Foot pain or ankle pain,Accompanied by,Thickened or rough skin,请问您的脚部皮肤是否变厚或变粗糙了？,Has the skin on your foot thickened or become rough?,
"foot pain or ankle pain, accompanied by weakness",Foot pain or ankle pain,Accompanied by,Weakness,请问您感觉脚部无力吗？,Do you feel weakness in your foot?,
"foot swelling or leg swelling, pain best described as dull or achy",Foot swelling or leg swelling,Pain best described as,Dull or achy,请问您的脚或腿肿胀的痛感是钝痛或疼痛吗？,Is the pain in your swollen foot or leg dull or aching?,
"foot swelling or leg swelling, pain best described as gradually worsening",Foot swelling or leg swelling,Pain best described as,Gradually worsening,请问您的脚或腿肿胀的痛感是逐渐加剧的吗？,Is the pain in your swollen foot or leg getting progressively worse?,
"foot swelling or leg swelling, swelling occurs along whole limb",Foot swelling or leg swelling,Swelling occurs,Along whole limb,请问您的肿胀发生在整个肢体上吗？,Is the swelling occurring throughout the limb?,
"foot swelling or leg swelling, swelling occurs around ankle or foot",Foot swelling or leg swelling,Swelling occurs,Around ankle or foot,请问您的肿胀发生在脚踝或脚周围吗？,Is the swelling occurring around the ankle or foot?,
"foot swelling or leg swelling, swelling occurs around knee",Foot swelling or leg swelling,Swelling occurs,Around knee,请问您的肿胀发生在膝周围吗？,Is the swelling occurring around the knee?,
"foot swelling or leg swelling, swelling occurs in both limbs",Foot swelling or leg swelling,Swelling occurs,In both limbs,请问您的肿胀是否发生在双侧肢体上？,Does the swelling occur in both limbs?,
"foot swelling or leg swelling, swelling occurs in one limb",Foot swelling or leg swelling,Swelling occurs,In one limb,请问您的肿胀是否只发生在一个肢体上？,Does the swelling only occur in one limb?,
"foot swelling or leg swelling, triggered or worsened by activity or overuse",Foot swelling or leg swelling,Triggered or worsened by,Activity or overuse,请问您的脚或腿肿胀是由活动过度或使用过度引起或加重的吗？,Is the swelling in your foot or leg caused or worsened by overuse or excessive activity?,
"foot swelling or leg swelling, triggered or worsened by everyday activities",Foot swelling or leg swelling,Triggered or worsened by,Everyday activities,请问您的脚或腿肿胀是由日常活动引起或加重的吗？,Is the swelling in your foot or leg caused or worsened by daily activities?,
"foot swelling or leg swelling, triggered or worsened by injury",Foot swelling or leg swelling,Triggered or worsened by,Injury,请问您的脚或腿肿胀是由受伤引起或加重的吗？,Is the swelling in your foot or leg caused or worsened by an injury?,
"foot swelling or leg swelling, triggered or worsened by movement",Foot swelling or leg swelling,Triggered or worsened by,Movement,请问您的脚或腿肿胀是由移动引起或加重的吗？,Is the swelling in your foot or leg caused or worsened by movement?,
"foot swelling or leg swelling, preceded by inactivity or long periods of rest",Foot swelling or leg swelling,Preceded by,Inactivity or long periods of rest,请问您的脚或腿肿胀是在长时间不活动后出现的吗？,Does the swelling in your foot or leg appear after a long period of inactivity?,
"foot swelling or leg swelling, preceded by sitting or standing still for long periods",Foot swelling or leg swelling,Preceded by,Sitting or standing still for long periods,请问您的脚或腿肿胀是在长时间坐立后出现的吗？,Does the swelling in your foot or leg appear after sitting or standing for a long time?,
"foot swelling or leg swelling, relieved by walking",Foot swelling or leg swelling,Relieved by,Walking,请问走路能缓解您的脚或腿肿胀吗？,Does walking relieve the swelling in your foot or leg?,
"foot swelling or leg swelling, accompanied by enlarged or purplish vein in affected leg",Foot swelling or leg swelling,Accompanied by,Enlarged or purplish vein in affected leg,请问您的脚或腿肿胀伴有肢体上的青紫色或扩大的静脉吗？,Does the swelling in your limb come with blue or enlarged veins?,
"foot swelling or leg swelling, accompanied by entire leg or calf being pale and cool",Foot swelling or leg swelling,Accompanied by,Entire leg or calf being pale and cool,请问您的整条腿或小腿变得苍白并且感觉冰冷吗？,Does your entire leg or calf become pale and feel cold?,
"foot swelling or leg swelling, accompanied by fatigue",Foot swelling or leg swelling,Accompanied by,Fatigue,请问您的脚或腿肿胀时感到疲劳吗？,Do you feel fatigued when your foot or leg is swollen?,
"foot swelling or leg swelling, accompanied by hardening of skin in affected area",Foot swelling or leg swelling,Accompanied by,Hardening of skin in affected area,请问您的受影响区域的皮肤变硬了吗？,Has the skin in the affected area become hard?,
"foot swelling or leg swelling, accompanied by heaviness in affected limb",Foot swelling or leg swelling,Accompanied by,Heaviness in affected limb,请问您的受影响肢体感觉沉重吗？,Does the affected limb feel heavy?,
"foot swelling or leg swelling, accompanied by loss of appetite",Foot swelling or leg swelling,Accompanied by,Loss of appetite,请问您的脚或腿肿胀时食欲减退吗？,Do you have a loss of appetite when your foot or leg is swollen?,
"foot swelling or leg swelling, accompanied by nausea",Foot swelling or leg swelling,Accompanied by,Nausea,请问您的脚或腿肿胀时感到恶心吗？,Do you feel nauseous when your foot or leg is swollen?,
"foot swelling or leg swelling, accompanied by pain, tenderness or aching in affected area",Foot swelling or leg swelling,Accompanied by,"Pain, tenderness or aching in affected area",请问您的受影响区域疼痛、触痛或酸痛吗？,"Is the affected area painful, tender, or sore?",
"foot swelling or leg swelling, accompanied by persistent cough",Foot swelling or leg swelling,Accompanied by,Persistent cough,请问您的脚或腿肿胀伴有持续性咳嗽吗？,Does the swelling in your foot or leg come with persistent coughing?,
"foot swelling or leg swelling, accompanied by rapid or irregular heartbeat",Foot swelling or leg swelling,Accompanied by,Rapid or irregular heartbeat,请问您的脚或腿肿胀伴有快速或不规则的心跳吗？,Does the swelling in your foot or leg come with rapid or irregular heartbeats?,
"foot swelling or leg swelling, accompanied by redness and warmth in affected area",Foot swelling or leg swelling,Accompanied by,Redness and warmth in affected area,请问您的脚或腿肿胀伴有受影响区域红热吗？,Does the swelling in your affected area come with redness and heat?,
"foot swelling or leg swelling, accompanied by shortness of breath that may prevent sleep unless propped up",Foot swelling or leg swelling,Accompanied by,Shortness of breath that may prevent sleep unless propped up,请问您的脚或腿肿胀时伴有夜间呼吸短促，需要垫高才能睡觉吗？,"Does the swelling in your foot or leg come with shortness of breath at night, requiring elevation to sleep?",
"foot swelling or leg swelling, accompanied by stiffness",Foot swelling or leg swelling,Accompanied by,Stiffness,请问您的脚或腿肿胀伴有僵硬感吗？,Does the swelling in your foot or leg come with stiffness?,
"foot swelling or leg swelling, accompanied by stiffness or limited movement",Foot swelling or leg swelling,Accompanied by,Stiffness or limited movement,请问您的脚或腿肿胀伴有运动受限吗？,Does the swelling in your foot or leg come with limited mobility?,
"foot swelling or leg swelling, accompanied by swelling",Foot swelling or leg swelling,Accompanied by,Swelling,请问您的脚或腿肿胀伴有肿胀吗？,Does the swelling in your foot or leg come with swelling?,
"foot swelling or leg swelling, accompanied by swelling in abdomen or other parts of body",Foot swelling or leg swelling,Accompanied by,Swelling in abdomen or other parts of body,请问您的腹部或身体其他部位也有肿胀吗？,Is there swelling in your abdomen or other body parts as well?,
"headaches, pain is extreme",Headaches,Pain is,Extreme,请问您的头痛程度极为剧烈吗？,Is your headache extremely severe?,
"headaches, pain is mild to moderate",Headaches,Pain is,Mild to moderate,请问您的头痛程度是轻度到中度吗？,Is your headache mild to moderate?,
"headaches, pain is moderate to severe",Headaches,Pain is,Moderate to severe,请问您的头痛程度是中度到重度吗？,Is your headache moderate to severe?,
"headaches, pain is pressure or squeezing sensation",Headaches,Pain is,Pressure or squeezing sensation,请问您的头痛感觉像是被压迫或挤压吗？,Does your headache feel like pressure or squeezing?,
"headaches, pain is stabbing or burning",Headaches,Pain is,Stabbing or burning,请问您的头痛感觉像是刺痛或灼痛吗？,Does your headache feel like stabbing or burning?,
"headaches, pain is throbbing",Headaches,Pain is,Throbbing,请问您的头痛感觉像是搏动性的吗？,Does your headache feel throbbing?,
"headaches, pain located around one eye or radiates from one eye",Headaches,Pain located,Around one eye or radiates from one eye,请问您的头痛主要集中在一只眼周围或从一只眼放射出去吗？,Is your headache primarily around one eye or radiating from one eye?,
"headaches, pain located around your temples",Headaches,Pain located,Around your temples,请问您的头痛主要集中在太阳穴周围吗？,Is your headache primarily around the temples?,
"headaches, pain located on both sides of your head",Headaches,Pain located,On both sides of your head,请问您的头痛是在头的两侧吗？,Is your headache on both sides of your head?,
"headaches, pain located on one side of your head",Headaches,Pain located,On one side of your head,请问您的头痛是在头的一侧吗？,Is your headache on one side of your head?,
"headaches, onset is gradual",Headaches,Onset is,Gradual,请问您的头痛是逐渐发展起来的吗？,Did your headache develop gradually?,
"headaches, onset is preceded by a head injury or fall",Headaches,Onset is,Preceded by a head injury or fall,请问您的头痛是在头部受伤或跌倒后出现的吗？,Did your headache appear after head injury or falling?,
"headaches, onset is preceded by frequent use of pain medication",Headaches,Onset is,Preceded by frequent use of pain medication,请问您的头痛是在频繁使用止痛药后出现的吗？,Did your headache appear after frequent use of pain medication?,
"headaches, onset is preceded by visual or other sensory disturbances",Headaches,Onset is,Preceded by visual or other sensory disturbances,请问您的头痛是在视觉或其他感官障碍后出现的吗？,Did your headache appear after visual or other sensory disturbances?,
"headaches, onset is sudden",Headaches,Onset is,Sudden,请问您的头痛是突然出现的吗？,Did your headache appear suddenly?,
"headaches, duration of headache is a few hours to days",Headaches,Duration of headache is,A few hours to days,请问您的头痛持续时间是几小时到几天吗？,Does your headache last from several hours to several days?,
"headaches, duration of headache is a few minutes to hours",Headaches,Duration of headache is,A few minutes to hours,请问您的头痛持续时间是几分钟到几小时吗？,Does your headache last from several minutes to several hours?,
"headaches, recurrence of headache gradually becomes more frequent",Headaches,Recurrence of headache,Gradually becomes more frequent,请问您的头痛是否逐渐变得更频繁了？,Is your headache becoming more frequent over time?,
"headaches, recurrence of headache is daily",Headaches,Recurrence of headache,Is daily,请问您的头痛是每天都有吗？,Do you have a headache every day?,
"headaches, recurrence of headache is often the same time every day",Headaches,Recurrence of headache,Is often the same time every day,请问您的头痛是否常在每天同一时间发生？,Does your headache often occur at the same time each day?,
"headaches, triggered or worsened by change in sleep patterns",Headaches,Triggered or worsened by,Change in sleep patterns,请问您的头痛是否由睡眠模式改变引起或加剧的？,Is your headache caused or worsened by changes in sleep patterns?,
"headaches, triggered or worsened by chewing",Headaches,Triggered or worsened by,Chewing,请问您的头痛是否由咀嚼引起或加剧的？,Is your headache caused or worsened by chewing?,
"headaches, triggered or worsened by clenching or grinding teeth",Headaches,Triggered or worsened by,Clenching or grinding teeth,请问您的头痛是否由紧咬或磨牙引起或加剧的？,Is your headache caused or worsened by clenching or grinding teeth?,
"headaches, triggered or worsened by everyday activities",Headaches,Triggered or worsened by,Everyday activities,请问您的头痛是否由日常活动引起或加剧的？,Is your headache caused or worsened by daily activities?,
"headaches, triggered or worsened by hormonal changes",Headaches,Triggered or worsened by,Hormonal changes,请问您的头痛是否由荷尔蒙变化引起或加剧的？,Is your headache caused or worsened by hormonal changes?,
"headaches, triggered or worsened by orgasm",Headaches,Triggered or worsened by,Orgasm,请问您的头痛是否由高潮引起或加剧的？,Is your headache caused or worsened by sexual activity?,
"headaches, triggered or worsened by poor posture",Headaches,Triggered or worsened by,Poor posture,请问您的头痛是否由不良姿势引起或加剧的？,Is your headache caused or worsened by poor posture?,
"headaches, triggered or worsened by stress",Headaches,Triggered or worsened by,Stress,请问您的头痛是否由压力引起或加剧的？,Is your headache caused or worsened by stress?,
"headaches, relieved by lying down in the dark",Headaches,Relieved by,Lying down in the dark,请问躺在暗处能缓解您的头痛吗？,Does lying in a dark room relieve your headache?,
"headaches, relieved by over-the-counter pain medication",Headaches,Relieved by,Over-the-counter pain medication,请问非处方止痛药能缓解您的头痛吗？,Does over-the-counter pain medication relieve your headache?,
"headaches, relieved by rest",Headaches,Relieved by,Rest,请问休息能缓解您的头痛吗？,Does rest relieve your headache?,
"headaches, accompanied by change in personality, behaviors or mental status",Headaches,Accompanied by,"Change in personality, behaviors or mental status",请问您的头痛伴有性格、行为或精神状态的变化吗？,"Does your headache come with changes in personality, behavior, or mental state?",
"headaches, accompanied by confusion",Headaches,Accompanied by,Confusion,请问您的头痛伴有混乱感吗？,Does your headache come with confusion?,
"headaches, accompanied by difficulty speaking",Headaches,Accompanied by,Difficulty speaking,请问您的头痛伴有说话困难吗？,Does your headache come with difficulty speaking?,
"headaches, accompanied by dizziness",Headaches,Accompanied by,Dizziness,请问您的头痛伴有眩晕吗？,Does your headache come with dizziness?,
"headaches, accompanied by fever",Headaches,Accompanied by,Fever,请问您的头痛伴有发热吗？,Does your headache come with fever?,
"headaches, accompanied by jaw pain",Headaches,Accompanied by,Jaw pain,请问您的头痛伴有下颌痛吗？,Does your headache come with jaw pain?,
"headaches, accompanied by memory loss or forgetfulness",Headaches,Accompanied by,Memory loss or forgetfulness,请问您的头痛伴有记忆力减退或健忘吗？,Does your headache come with memory loss or forgetfulness?,
"headaches, accompanied by muscle or joint aches",Headaches,Accompanied by,Muscle or joint aches,请问您的头痛伴有肌肉或关节疼痛吗？,Does your headache come with muscle or joint pain?,
"headaches, accompanied by nausea or vomiting",Headaches,Accompanied by,Nausea or vomiting,请问您的头痛伴有恶心或呕吐吗？,Does your headache come with nausea or vomiting?,
"headaches, accompanied by persistent weakness or numbness",Headaches,Accompanied by,Persistent weakness or numbness,请问您的头痛伴有持续的虚弱或麻木感吗？,Does your headache come with persistent weakness or numbness?,
"headaches, accompanied by restlessness or agitation",Headaches,Accompanied by,Restlessness or agitation,请问您的头痛伴有焦躁不安吗？,Does your headache come with restlessness or anxiety?,
"headaches, accompanied by runny or stuffy nose",Headaches,Accompanied by,Runny or stuffy nose,请问您的头痛伴有流鼻涕或鼻塞吗？,Does your headache come with a runny nose or nasal congestion?,
"headaches, accompanied by seizures",Headaches,Accompanied by,Seizures,请问您的头痛伴有癫痫发作吗？,Does your headache come with seizures?,
"headaches, accompanied by sensitivity to light or noise",Headaches,Accompanied by,Sensitivity to light or noise,请问您的头痛伴有对光或声音敏感吗？,Does your headache come with sensitivity to light or sound?,
"headaches, accompanied by stiff neck",Headaches,Accompanied by,Stiff neck,请问您的头痛伴有颈部僵硬吗？,Does your headache come with neck stiffness?,
"headaches, accompanied by tender scalp",Headaches,Accompanied by,Tender scalp,请问您的头痛伴有头皮触痛吗？,Does your headache come with tenderness of the scalp?,
"headaches, accompanied by vision problems",Headaches,Accompanied by,Vision problems,请问您的头痛伴有视力问题吗？,Does your headache come with vision problems?,
"heart palpitations, palpitations often occur when you're anxious or stressed",Heart palpitations,Palpitations often occur when,You're anxious or stressed,请问您是在焦虑或压力的时候出现心悸吗？,Do you experience palpitations when feeling anxious or stressed?,
"heart palpitations, palpitations often occur when you're exerting yourself",Heart palpitations,Palpitations often occur when,You're exerting yourself,请问您是在劳累时出现的心悸吗？,Do you experience palpitations when tired?,
"heart palpitations, palpitations often occur when you're resting or going to bed",Heart palpitations,Palpitations often occur when,You're resting or going to bed,请问您在休息或睡觉时有心悸吗？,Do you have palpitations while resting or sleeping?,
"heart palpitations, heart rate is faster than normal",Heart palpitations,Heart rate is,Faster than normal,请问您心悸时心率快于正常吗？,Is your heart rate faster than normal when you experience palpitations?,
"heart palpitations, heart rate is irregular or not steady",Heart palpitations,Heart rate is,Irregular or not steady,请问心悸时心率不规则或不稳定吗？,Are your heartbeats irregular or unstable during palpitations?,
"heart palpitations, heart rate is slower than normal",Heart palpitations,Heart rate is,Slower than normal,请问心悸时心率慢于正常吗？,Is your heart rate slower than normal during palpitations?,
"heart palpitations, preceded by use of caffeine or alcohol",Heart palpitations,Preceded by use of,Caffeine or alcohol,请问您是使用咖啡因或酒精后有心悸吗？,Do you experience palpitations after consuming caffeine or alcohol?,
"heart palpitations, preceded by use of cigarettes or recreational drugs",Heart palpitations,Preceded by use of,Cigarettes or recreational drugs,请问您是在抽烟或使用娱乐性药物后有心悸吗？,Do you have palpitations after smoking or using recreational drugs?,
"heart palpitations, preceded by use of medications or herbal supplements",Heart palpitations,Preceded by use of,Medications or herbal supplements,请问您是在使用药物或草药补充剂后有心悸吗？,Do you experience palpitations after taking medication or herbal supplements?,
"heart palpitations, accompanied by chest pain or tightness",Heart palpitations,Accompanied by,Chest pain or tightness,请问您的心悸伴随胸痛或紧缩感吗？,Do your palpitations accompany chest pain or a feeling of tightness?,
"heart palpitations, accompanied by dizziness or lightheadedness",Heart palpitations,Accompanied by,Dizziness or lightheadedness,请问您的心悸伴随头晕或轻飘感吗？,Do your palpitations come with dizziness or a light-headed feeling?,
"heart palpitations, accompanied by fainting",Heart palpitations,Accompanied by,Fainting,请问您的心悸伴随晕厥吗？,Do your palpitations accompany fainting?,
"heart palpitations, accompanied by headache",Heart palpitations,Accompanied by,Headache,请问您的心悸伴随头痛吗？,Do your palpitations come with a headache?,
"heart palpitations, accompanied by nausea",Heart palpitations,Accompanied by,Nausea,请问您的心悸伴随恶心吗？,Do your palpitations come with nausea?,
"heart palpitations, accompanied by nervousness",Heart palpitations,Accompanied by,Nervousness,请问您的心悸伴随紧张感吗？,Do your palpitations accompany a feeling of nervousness?,
"heart palpitations, accompanied by shortness of breath",Heart palpitations,Accompanied by,Shortness of breath,请问您的心悸伴随呼吸急促吗？,Do your palpitations come with shortness of breath?,
"heart palpitations, accompanied by sudden weight loss",Heart palpitations,Accompanied by,Sudden weight loss,请问您的心悸伴随突然体重减轻吗？,Do your palpitations accompany sudden weight loss?,
"heart palpitations, accompanied by sweating",Heart palpitations,Accompanied by,Sweating,请问您的心悸伴随出汗吗？,Do your palpitations come with sweating?,
"heart palpitations, accompanied by tremors",Heart palpitations,Accompanied by,Tremors,请问您的心悸伴随震颤吗？,Do your palpitations come with trembling?,
"heart palpitations, accompanied by trouble sleeping",Heart palpitations,Accompanied by,Trouble sleeping,请问您的心悸伴随睡眠障碍吗？,Do your palpitations accompany sleep disturbances?,
"heart palpitations, accompanied by unexplained fatigue or weakness",Heart palpitations,Accompanied by,Unexplained fatigue or weakness,请问您的心悸伴随无法解释的疲劳或虚弱吗？,Do your palpitations come with unexplained fatigue or weakness?,
"hip pain, pain is dull or achy",Hip pain,Pain is,Dull or achy,请问您有呈现钝痛或酸痛的髋关节痛吗？,Do you experience a dull or sore hip joint pain?,
"hip pain, pain is located in the groin",Hip pain,Pain is,Located in the groin,请问您的髋关节痛位于腹股沟吗？,Is your hip joint pain located in the groin area?,
"hip pain, pain is located on the outside of the hip (greater trochanter)",Hip pain,Pain is,Located on the outside of the hip (greater trochanter),请问您的髋关节痛位于髋部外侧（大转子）吗？,Is your hip joint pain on the outer side of the hip (greater trochanter)?,
"hip pain, pain is sudden and intense",Hip pain,Pain is,Sudden and intense,请问您有突然且强烈的髋关节痛吗？,Do you experience sudden and severe hip joint pain?,
"hip pain, triggered or worsened by activity or overuse",Hip pain,Triggered or worsened by,Activity or overuse,请问您的髋关节痛是因活动过度或使用过度引起的吗？,Is your hip joint pain due to overactivity or overuse?,
"hip pain, triggered or worsened by applying pressure or trying to bear weight",Hip pain,Triggered or worsened by,Applying pressure or trying to bear weight,请问您在施压或承重时髋关节痛加剧吗？,Does your hip joint pain worsen with pressure or bearing weight?,
"hip pain, triggered or worsened by injury",Hip pain,Triggered or worsened by,Injury,请问您的髋关节痛是因受伤引起的吗？,Is your hip joint pain due to an injury?,
"hip pain, triggered or worsened by long periods of rest",Hip pain,Triggered or worsened by,Long periods of rest,请问您长时间休息后髋关节痛加剧吗？,Does your hip joint pain worsen after a long period of rest?,
"hip pain, triggered or worsened by movement",Hip pain,Triggered or worsened by,Movement,请问您的髋关节痛是因移动而触发或加剧的吗？,Is your hip joint pain triggered or worsened by movement?,
"hip pain, triggered or worsened by overuse",Hip pain,Triggered or worsened by,Overuse,请问您的髋关节痛是因使用过度而触发或加剧的吗？,Is your hip joint pain triggered or worsened by overuse?,
"hip pain, accompanied by decreased range of motion",Hip pain,Accompanied by,Decreased range of motion,请问您的髋关节痛伴随活动范围减少吗？,Does your hip joint pain accompany a reduced range of motion?,
"hip pain, accompanied by decreased range of motion such as difficulty rolling the hip or thigh outward",Hip pain,Accompanied by,Decreased range of motion such as difficulty rolling the hip or thigh outward,请问您在转动髋关节或大腿向外时活动范围减少吗？,Do you experience a reduced range of motion when rotating your hip joint or moving your thigh outward?,
"hip pain, accompanied by locking or catching",Hip pain,Accompanied by,Locking or catching,请问您的髋关节痛伴随锁定或卡住感吗？,Does your hip joint pain come with a locking or stuck sensation?,
"hip pain, accompanied by stiffness",Hip pain,Accompanied by,Stiffness,请问您的髋关节痛伴随僵硬吗？,Does your hip joint pain come with stiffness?,
"hip pain, accompanied by swelling",Hip pain,Accompanied by,Swelling,请问您的髋关节痛伴随肿胀吗？,Does your hip joint pain come with swelling?,
"knee pain, pain best described as dull or achy",Knee pain,Pain best described as,Dull or achy,请问您的膝关节痛是钝痛或酸痛吗？,Is your knee joint pain a dull or sore pain?,
"knee pain, pain best described as gradually worsening",Knee pain,Pain best described as,Gradually worsening,请问您的膝关节痛是逐渐恶化的吗？,Is your knee joint pain progressively getting worse?,
"knee pain, pain best described as persistent",Knee pain,Pain best described as,Persistent,请问您的膝关节痛是持续存在的吗？,Is your knee joint pain constant?,
"knee pain, pain best described as sharp or severe",Knee pain,Pain best described as,Sharp or severe,请问您的膝关节痛是尖锐或严重的吗？,Is your knee joint pain sharp or severe?,
"knee pain, pain best described as sudden",Knee pain,Pain best described as,Sudden,请问您的膝关节痛是突然发生的吗？,Did your knee joint pain start suddenly?,
"knee pain, located along one or both sides of the knee",Knee pain,Located,Along one or both sides of the knee,请问您的膝关节痛位于膝盖的一侧或两侧吗？,Is your knee joint pain on one side or both sides of the knee?,
"knee pain, located around the kneecap",Knee pain,Located,Around the kneecap,请问您的膝关节痛位于髌骨周围吗？,Is your knee joint pain around the kneecap?,
"knee pain, located behind the knee",Knee pain,Located,Behind the knee,请问您的膝关节痛位于膝盖后面吗？,Is your knee joint pain behind the knee?,
"knee pain, located in the knee joint",Knee pain,Located,In the knee joint,请问您的膝关节痛位于膝关节内吗？,Is your knee joint pain inside the knee joint?,
"knee pain, triggered by everyday activities",Knee pain,Triggered by,Everyday activities,请问您的膝关节痛是因日常活动引起的吗？,Is your knee joint pain due to everyday activities?,
"knee pain, triggered by injury",Knee pain,Triggered by,Injury,请问您的膝关节痛是因受伤引起的吗？,Is your knee joint pain due to an injury?,
"knee pain, triggered by overuse",Knee pain,Triggered by,Overuse,请问您的膝关节痛是因使用过度引起的吗？,Is your knee joint pain due to overuse?,
"knee pain, worsened by movement",Knee pain,Worsened by,Movement,请问您的膝关节痛因运动而加剧吗？,Does your knee joint pain worsen with exercise?,
"knee pain, worsened by prolonged sitting or standing",Knee pain,Worsened by,Prolonged sitting or standing,请问您的膝关节痛因长时间站立或坐着而加剧吗？,Does your knee joint pain worsen with prolonged standing or sitting?,
"knee pain, worsened by rest or inactivity",Knee pain,Worsened by,Rest or inactivity,请问您的膝关节痛因休息或不活动而加剧吗？,Does your knee joint pain worsen with rest or inactivity?,
"knee pain, accompanied by bruising or discoloring",Knee pain,Accompanied by,Bruising or discoloring,请问您的膝关节痛伴随淤青或变色吗？,Does your knee joint pain come with bruising or discoloration?,
"knee pain, accompanied by decreased range of motion",Knee pain,Accompanied by,Decreased range of motion,请问您的膝关节痛伴随活动范围减少吗？,Does your knee joint pain accompany a reduced range of motion?,
"knee pain, accompanied by feeling of instability",Knee pain,Accompanied by,Feeling of instability,请问您的膝关节痛伴随不稳定感吗？,Does your knee joint pain come with a feeling of instability?,
"knee pain, accompanied by grating sensation",Knee pain,Accompanied by,Grating sensation,请问您的膝关节痛伴随磨损感吗？,Does your knee joint pain come with a grinding sensation?,
